setting,tokens_seen,dev_cross_entropy,avg_learning_speed
d16-w50,1620,3.0574,5.9
d16-w50,3270,1.7966,3.5
d16-w50,4860,0.7969,3.5
d16-w50,6480,0.4715,4.0
d16-w50,8100,0.3603,3.2
d16-w50,10020,0.3144,3.6
d16-w50,12030,0.2905,3.5
d16-w50,14010,0.272,3.3
d16-w50,16020,0.2553,3.5
d16-w50,18030,0.2467,3.6
d16-w50,20010,0.2388,3.5
d16-w50,22020,0.2374,3.6
d16-w50,24030,0.2332,3.6
d32-w50,1560,3.0452,4.8
d32-w50,3120,1.2514,2.4
d32-w50,4680,0.4564,2.6
d32-w50,6270,0.303,2.9
d32-w50,8010,0.2508,2.5
d32-w50,10020,0.2292,2.9
d32-w50,12030,0.2179,2.5
d32-w50,14010,0.214,2.5
d32-w50,16020,0.199,2.6
d32-w50,18030,0.1962,2.8
d32-w50,20010,0.1872,2.8
d4-w10,1620,3.0491,8.3
d4-w10,3240,2.2425,2.4
d4-w10,4860,1.8974,2.1
d4-w10,6480,1.6372,2.2
d4-w10,8070,1.4456,3.0
d4-w10,10020,1.3046,3.1
d4-w10,12030,1.2025,3.3
d4-w10,14010,1.1301,4.3
d4-w10,16020,1.0678,4.9
d4-w10,18030,1.02,5.9
d4-w10,20010,0.9797,5.5
d4-w10,22020,0.9529,5.8
d4-w10,24030,0.9306,5.6
d4-w10,26010,0.9127,5.3
d4-w10,28020,0.8988,7.6
d8-w10,1620,3.058,7.3
d8-w10,3270,2.0869,1.7
d8-w10,4860,1.6458,2.0
d8-w10,6480,1.3174,2.3
d8-w10,8010,1.0841,3.3
d8-w10,10020,0.9285,3.4
d8-w10,12030,0.8316,4.2
d8-w10,14010,0.7683,4.5
d8-w10,16020,0.7268,5.1
d8-w10,18030,0.6933,5.7
d8-w10,20010,0.664,5.8
d8-w10,22020,0.6451,6.4
d8-w10,24030,0.6324,5.8
d8-w10,26010,0.613,5.3
d8-w10,28020,0.6045,6.2
d8-w50,1620,3.062,7.5
d8-w50,3270,2.0397,3.6
d8-w50,4860,1.2287,3.9
d8-w50,6480,0.7569,3.9
d8-w50,8100,0.5661,4.2
d8-w50,10020,0.4785,4.5
d8-w50,12030,0.4267,4.2
d8-w50,14010,0.3912,4.4
d8-w50,16020,0.3687,4.6
d8-w50,18030,0.3457,5.6
d8-w50,20010,0.3321,4.5
d8-w50,22020,0.3263,5.4
d8-w50,24030,0.3181,4.7
d8-w50,26010,0.311,4.5
d8-w50,28020,0.2999,4.7
