setting,tokens_seen,dev_cross_entropy,avg_learning_speed
b10,2000,3.062,2.1
b10,3880,0.9002,3.4
b10,5790,0.4787,4.2
b10,7670,0.387,4.6
b10,9590,0.3427,4.8
b10,11490,0.3149,4.5
b10,13420,0.3052,4.2
b10,15320,0.2948,4.3
b10,17230,0.2869,4.3
b10,19110,0.2796,4.2
b10,20970,0.2778,4.3
b10,22870,0.2699,4.2
b60,1560,3.062,15.0
b60,3180,2.5637,14.0
b60,4800,2.0206,6.0
b60,6360,1.5999,7.6
b60,8040,1.1681,6.4
b60,10020,0.8747,5.2
b60,12060,0.6926,4.4
b60,14040,0.5908,4.6
b60,16020,0.5194,4.6
b60,18060,0.4694,4.8
b60,20040,0.4349,4.6
b60,22020,0.408,4.2
b60,24060,0.3911,5.0
b60,26040,0.3775,4.2
b60,28020,0.3646,5.0
baseline,1620,3.062,7.5
baseline,3270,2.0397,3.6
baseline,4860,1.2287,3.9
baseline,6480,0.7569,3.9
baseline,8100,0.5661,4.2
baseline,10020,0.4785,4.5
baseline,12030,0.4267,4.2
baseline,14010,0.3912,4.4
baseline,16020,0.3687,4.6
baseline,18030,0.3457,5.6
baseline,20010,0.3321,4.5
baseline,22020,0.3263,5.4
baseline,24030,0.3181,4.7
baseline,26010,0.311,4.5
baseline,28020,0.2999,4.7
lr0.05,1530,3.062,32.0
lr0.05,3150,0.7162,34.0
lr0.05,4770,0.4276,28.0
lr0.05,6210,0.3786,27.0
lr0.05,8010,0.3426,28.0
lr0.05,10020,0.3223,24.0
lr0.05,12030,0.3066,22.0
reg0,1590,3.062,7.5
reg0,3120,2.0394,3.6
reg0,4680,1.2277,3.9
reg0,6300,0.756,3.9
reg0,8010,0.5653,4.2
reg0,10020,0.4776,4.5
reg0,12030,0.4261,4.2
reg0,14010,0.3905,4.4
reg0,16020,0.3681,4.6
reg0,18030,0.345,5.5
reg0,20010,0.3314,4.6
reg0,22020,0.3257,5.4
reg0,24030,0.3172,4.7
reg0,26010,0.3101,4.5
reg0,28020,0.2995,4.8
reg0.01,1560,3.062,7.5
reg0.01,3030,2.0394,3.6
reg0.01,4530,1.2278,3.9
reg0.01,6030,0.7561,3.9
reg0.01,8010,0.5654,4.2
reg0.01,10020,0.4777,4.5
reg0.01,12030,0.4262,4.2
reg0.01,14010,0.3905,4.4
reg0.01,16020,0.3681,4.6
reg0.01,18030,0.345,5.5
reg0.01,20010,0.3315,4.6
reg0.01,22020,0.3258,5.4
reg0.01,24030,0.3172,4.7
reg0.01,26010,0.3102,4.5
reg0.01,28020,0.2996,4.8
