lexicon,tokens_seen,dev_cross_entropy,avg_learning_speed
words-10,1620,3.058,7.3
words-10,3270,2.0869,1.7
words-10,4860,1.6458,2.0
words-10,6480,1.3174,2.3
words-10,8010,1.0841,3.3
words-10,10020,0.9285,3.4
words-10,12030,0.8316,4.2
words-10,14010,0.7683,4.5
words-10,16020,0.7268,5.1
words-10,18030,0.6933,5.7
words-10,20010,0.664,5.8
words-10,22020,0.6451,6.4
words-10,24030,0.6324,5.8
words-10,26010,0.613,5.3
words-10,28020,0.6045,6.2
words-100,1620,3.0618,7.5
words-100,3180,2.0269,4.3
words-100,4710,1.0845,4.0
words-100,6240,0.6041,3.8
words-100,8010,0.4465,3.9
words-100,10020,0.3818,4.0
words-100,12030,0.3442,3.5
words-100,14010,0.3218,3.7
words-100,16020,0.303,3.8
words-100,18030,0.2862,4.6
words-100,20010,0.2814,4.1
words-100,22020,0.2728,4.2
words-100,24030,0.2679,4.0
words-100,26010,0.2597,3.5
words-100,28020,0.2547,3.7
words-20,1620,3.0579,7.5
words-20,3210,2.0576,2.3
words-20,4770,1.5034,2.7
words-20,6360,1.0806,2.9
words-20,8010,0.8295,3.8
words-20,10020,0.7012,4.3
words-20,12030,0.6207,5.2
words-20,14010,0.5713,4.7
words-20,16020,0.5361,5.1
words-20,18030,0.5089,5.9
words-20,20010,0.4853,5.8
words-20,22020,0.4678,6.1
words-20,24030,0.4578,6.1
words-20,26010,0.4483,5.5
words-20,28020,0.4387,6.1
words-50,1620,3.062,7.5
words-50,3270,2.0397,3.6
words-50,4860,1.2287,3.9
words-50,6480,0.7569,3.9
words-50,8100,0.5661,4.2
words-50,10020,0.4785,4.5
words-50,12030,0.4267,4.2
words-50,14010,0.3912,4.4
words-50,16020,0.3687,4.6
words-50,18030,0.3457,5.6
words-50,20010,0.3321,4.5
words-50,22020,0.3263,5.4
words-50,24030,0.3181,4.7
words-50,26010,0.311,4.5
words-50,28020,0.2999,4.7
words-gs-10,1590,3.0576,7.1
words-gs-10,3180,2.1041,1.3
words-gs-10,4770,1.6722,1.9
words-gs-10,6360,1.3047,2.6
words-gs-10,8010,1.0771,3.4
words-gs-10,10020,0.937,3.6
words-gs-10,12030,0.8439,4.6
words-gs-10,14010,0.7903,4.4
words-gs-10,16020,0.7577,6.1
words-gs-10,18030,0.7256,6.2
words-gs-10,20010,0.7078,5.7
words-gs-10,22020,0.6864,5.6
words-gs-10,24030,0.6696,5.3
words-gs-10,26010,0.6593,5.0
words-gs-10,28020,0.6478,5.3
words-gs-50,2010,3.0621,3.0
words-gs-50,4380,1.344,3.1
words-gs-50,6840,0.8829,3.4
words-gs-50,9270,0.6764,4.0
words-gs-50,11700,0.5739,4.3
words-gs-50,14010,0.5187,6.4
words-gs-50,16440,0.461,5.2
words-gs-50,18840,0.4397,7.3
words-gs-50,21270,0.4263,6.5
words-gs-50,23670,0.4183,5.2
words-gs-50,26010,0.4098,5.6
